名前,住所,エリア,カテゴリ,予算,おすすめポイント,URL
Noe (Four Seasons),"92-1001 Olani St, Kapolei, HI 96707",コオリナ,高級,$100-150/人,自家製パスタ・シーフード。テイスティングメニュー$69〜,https://www.fourseasons.com/oahu/dining/restaurants/noe/
Mina's Fish House,"92-1001 Olani St, Kapolei, HI 96707",コオリナ,高級,$80-150/人,ジェームズ・ビアード賞シェフ。シェルフィッシュプラッター$85〜,https://www.fourseasons.com/oahu/dining/restaurants/minas_fish_house/
AMA AMA (Disney Aulani),"92-1185 Aliinui Dr, Kapolei, HI 96707",コオリナ,高級,$130-150/人,ディズニーリゾート内。4コース$135。水〜日営業,https://www.disneyaulani.com/dining/table-service/ama-ama-restaurant/
Roy's Ko Olina,"92-1220 Aliinui Dr, Kapolei, HI 96707",コオリナ,高級,$50-80/人,ゴルフコース内。アロハアワー14-17時がお得,https://www.royyamaguchi.com/roys-ko-olina
Monkeypod Kitchen,"92-1048 Olani St, Kapolei, HI 96707",コオリナ,カジュアル,$30-50/人,クラフトビール36種。ハッピーアワー15:30-17:00,https://www.monkeypodkitchen.com/
Longhi's Ko Olina,"92-161 Waipahe Pl, Kapolei, HI 96707",コオリナ,カジュアル,$30-50/人,マリオット内イタリアン。ブランチ8-15時,https://www.longhis.com/koolina-restaurant
Mekiko Cantina,"92-1047 Olani St, Kapolei, HI 96707",コオリナ,カジュアル,$25-40/人,50種以上のテキーラ。火金ライブ,https://koolinashops.com/dining/
808 Craft House,"92-1047 Olani St, Kapolei, HI 96707",コオリナ,カジュアル,$20-35/人,地元ビール。カジュアルな雰囲気,https://koolinashops.com/dining/
Eggs 'n Things Ko Olina,"92-1047 Olani St, Kapolei, HI 96707",コオリナ,テイクアウト,$15-25/人,レインボーパンケーキ$20.95。7-14時,https://eggsnthings.com/ko-olina-menu/
Island Country Market,"92-1048 Olani St, Kapolei, HI 96707",コオリナ,テイクアウト,$10-20/人,デリ・サンドイッチ。朝6時から,https://koolinashops.com/dining/
Michel's at the Colony Surf,"2895 Kalakaua Ave, Honolulu, HI 96815",ワイキキ,高級,$130-180/人,世界で最もロマンティック。コース$130,https://www.michelshawaii.com/
Arancino di Mare,"2552 Kalakaua Ave, Honolulu, HI 96815",ワイキキ,高級,$50-80/人,マリオット内。6年連続ベストイタリアン,https://arancino-dimare.arancino.com/
Tiki's Grill & Bar,"2570 Kalakaua Ave, Honolulu, HI 96815",ワイキキ,カジュアル,$30-50/人,マリオット隣。毎日ライブミュージック,https://www.tikis.com/
Lulu's Waikiki,"2586 Kalakaua Ave, Honolulu, HI 96815",ワイキキ,カジュアル,$25-45/人,ビーチ目の前。ロコモコが人気,https://www.luluswaikiki.com/
Cheesecake Factory,"2201 Kalakaua Ave, Honolulu, HI 96815",ワイキキ,カジュアル,$25-40/人,ロイヤルハワイアンセンター内,https://www.thecheesecakefactory.com/
Rainbow Drive-In,"3308 Kanaina Ave, Honolulu, HI 96815",ワイキキ,テイクアウト,$10-15/人,1961年創業。ロコモコ・プレートランチ,https://www.rainbowdrivein.com/
Marugame Udon,"2310 Kuhio Ave, Honolulu, HI 96815",ワイキキ,テイクアウト,$8-15/人,手打ちうどん$5.85〜。行列必至,https://www.marugameudon.com/locations/waikiki/
Ono Seafood,"747 Kapahulu Ave, Honolulu, HI 96816",ワイキキ,テイクアウト,$12-20/人,本格ポケ$12.99〜。火〜土9-18時,https://www.yelp.com/biz/ono-seafood-honolulu
Leonard's Bakery,"933 Kapahulu Ave, Honolulu, HI 96816",ワイキキ,テイクアウト,$2-10/人,マラサダ$1.70〜。朝5:30から,https://leonardshawaii.com/
Steak Shack,"2161 Kalia Rd, Honolulu, HI 96815",ワイキキ,テイクアウト,$10以下/人,ビーチ沿い。ステーキプレート。現金のみ,
